,country,variable,percentile,year,value,age,pop,p_start,p_end
27990,IN,sptincj999,p97p100,2024,0.3525,999,j,0.0039000000000000003,0.01
28073,IN,sptincj999,p97p98,2024,0.0569,999,j,0.0039000000000000003,0.004
28156,IN,sptincj999,p98p100,2024,0.2955,999,j,0.0003,0.01
28239,IN,sptincj999,p98p99,2024,0.0696,999,j,0.004,0.01
28322,IN,sptincj999,p99.1p100,2024,0.2169,999,j,0.004,0.0040999999999999995
28405,IN,sptincj999,p99.1p99.2,2024,0.0096,999,j,0.004,0.005
28488,IN,sptincj999,p99.2p100,2024,0.2073,999,j,0.0040999999999999995,0.01
28571,IN,sptincj999,p99.2p99.3,2024,0.0103,999,j,0.0040999999999999995,0.0042
28654,IN,sptincj999,p99.3p100,2024,0.197,999,j,0.0042,0.01
28737,IN,sptincj999,p99.3p99.4,2024,0.0112,999,j,0.0043,0.01
